Series ID,Year,Period,Label,Value,12-Month % Change
LASST340000000000003,2007,M01,2007 Jan,4.2,-14.3
LASST340000000000003,2007,M02,2007 Feb,4.2,-14.3
LASST340000000000003,2007,M03,2007 Mar,4.2,-14.3
LASST340000000000003,2007,M04,2007 Apr,4.2,-14.3
LASST340000000000003,2007,M05,2007 May,4.2,-14.3
LASST340000000000003,2007,M06,2007 Jun,4.2,-14.3
LASST340000000000003,2007,M07,2007 Jul,4.2,-12.5
LASST340000000000003,2007,M08,2007 Aug,4.3,-10.4
LASST340000000000003,2007,M09,2007 Sep,4.3,-6.5
LASST340000000000003,2007,M10,2007 Oct,4.4,-2.2
LASST340000000000003,2007,M11,2007 Nov,4.4,0.0
LASST340000000000003,2007,M12,2007 Dec,4.5,4.7
LASST340000000000003,2008,M01,2008 Jan,4.6,9.5
LASST340000000000003,2008,M02,2008 Feb,4.6,9.5
LASST340000000000003,2008,M03,2008 Mar,4.7,11.9
LASST340000000000003,2008,M04,2008 Apr,4.8,14.3
LASST340000000000003,2008,M05,2008 May,4.9,16.7
LASST340000000000003,2008,M06,2008 Jun,5.1,21.4
LASST340000000000003,2008,M07,2008 Jul,5.2,23.8
LASST340000000000003,2008,M08,2008 Aug,5.4,25.6
LASST340000000000003,2008,M09,2008 Sep,5.7,32.6
LASST340000000000003,2008,M10,2008 Oct,6.0,36.4
LASST340000000000003,2008,M11,2008 Nov,6.4,45.5
LASST340000000000003,2008,M12,2008 Dec,6.9,53.3
LASST340000000000003,2009,M01,2009 Jan,7.4,60.9
LASST340000000000003,2009,M02,2009 Feb,7.9,71.7
LASST340000000000003,2009,M03,2009 Mar,8.3,76.6
LASST340000000000003,2009,M04,2009 Apr,8.7,81.3
LASST340000000000003,2009,M05,2009 May,9.0,83.7
LASST340000000000003,2009,M06,2009 Jun,9.2,80.4
LASST340000000000003,2009,M07,2009 Jul,9.4,80.8
LASST340000000000003,2009,M08,2009 Aug,9.5,75.9
LASST340000000000003,2009,M09,2009 Sep,9.7,70.2
LASST340000000000003,2009,M10,2009 Oct,9.7,61.7
LASST340000000000003,2009,M11,2009 Nov,9.8,53.1
LASST340000000000003,2009,M12,2009 Dec,9.8,42.0
LASST340000000000003,2010,M01,2010 Jan,9.8,32.4
LASST340000000000003,2010,M02,2010 Feb,9.7,22.8
LASST340000000000003,2010,M03,2010 Mar,9.7,16.9
LASST340000000000003,2010,M04,2010 Apr,9.6,10.3
LASST340000000000003,2010,M05,2010 May,9.5,5.6
LASST340000000000003,2010,M06,2010 Jun,9.4,2.2
LASST340000000000003,2010,M07,2010 Jul,9.4,0.0
LASST340000000000003,2010,M08,2010 Aug,9.4,-1.1
LASST340000000000003,2010,M09,2010 Sep,9.4,-3.1
LASST340000000000003,2010,M10,2010 Oct,9.5,-2.1
LASST340000000000003,2010,M11,2010 Nov,9.5,-3.1
